Year,Arab World GDP,Bahrain GDP,"Iran, Islamic Rep. GDP",Iraq GDP,Middle East & North Africa GDP,Middle East & North Africa (excluding high income) GDP,Oman GDP,Saudi Arabia GDP,Turkey GDP,World GDP,Arab World GFCF,Bahrain GFCF,"Iran, Islamic Rep. GFCF",Iraq GFCF,Middle East & North Africa GFCF,Middle East & North Africa (excluding high income) GFCF,Oman GFCF,Saudi Arabia GFCF,Turkey GFCF,World GFCF
2000,735685319269,9062898936,109591707802,,966793939324,451663956562,19507452508,189514926223,274302959127,33623637910869,127909317309,1485409136,34313163713,0,200513063016,100450063939,3013901412,32880839700,60922687222,7955352729712
2001,722917010351,8976196809,126878750296,,969438036629,466336846350,19452000476,184137469725,201753343274,33430841993024,133884230317,1523260598,45422592606,0,212985536647,112713615763,3318511281,33623501972,36214725118,7836189363165
2002,726832740067,9593510638,128626917504,,963814850178,450773920225,20142756175,189605920241,240248965618,34712451850985,137080654777,2217060309,42768450070,0,208184007638,106022026037,3754609751,34148026235,46776473606,7945680228691
2003,821089931823,11074813830,153544751395,,1086468754426,508946757946,21633708220,215807655244,314595397485,38948207693351,156992394965,2610333620,50147715806,0,234459957205,119348014738,4742108842,39492800910,65058328200,9016510081011
2004,965100949398,13150159574,190043433965,36627901762,1271705954152,593345806796,24763713001,258742263029,408865286825,43874597658831,184237771240,2960100920,59369568771,1966918325,269728832876,135460847691,6034916858,49575017596,102952279222,10363179967016
2005,1186135399899,15968723404,226452138292,49954890353,1530654274871,698843530015,31081991725,328459700124,506314592067,47526792786394,236159558120,4102365043,64674730696,6918752314,326794687685,161502739786,6844254578,63425568094,133717683765,11434946344406
2006,1406002045915,18504760638,266298911661,65140293688,1791625527738,811977171056,37215779656,376900135721,557076027809,51512231538198,293713827392,5458904388,72566453428,11523317953,391291015258,191139426067,8883406604,77076077755,158599545117,12574135718474
2007,1639307043045,21730000000,349881601459,88840050497,2124014664519,1003231089321,42085379489,415964583059,681321211458,58043560380508,378188134830,7290415000,99156445853,6005587414,504453482823,241377400091,12065878300,98375623894,190020485876,14255498429453
2008,2080969850135,25710904255,412336172447,131613661510,2655740468950,1243192298120,60905452458,519796738631,770449330198,63690177847400,502138024838,8875404149,131617706245,19478821904,670574468410,342623797362,18649249543,118513656408,205324746498,15591355537043
2009,1795740921394,22938218085,416397025729,111660855043,2372559331529,1200037635631,48388363516,429097899279,649289324631,60410286580324,467970084115,5794193888,128458482438,11512234155,625406639791,327250263237,16118163887,110535618854,144337016866,14214540432350
2010,2103331412248,25713271277,486807615326,138461538462,2768051385033,1384800137553,56913065779,528207332650,776967610957,66125919193271,518260859978,6698307168,133141882792,22444615385,683431886965,358801715640,14080292474,129041051366,191444819340,15294925109404
2011,2494028778449,28776595745,580764902917,185470085470,3280524945926,1566916852596,67872692582,671238840108,838785707000,73460345663712,555420208961,6063228723,155470764511,24129658120,755504895047,379037186643,15793975564,151699977864,232679155122,17101568470512
2012,2773499064015,30749308511,598868460913,217807625616,3576379622627,1729643567215,76511059936,735974843349,880555967207,75161778950115,607396295019,8253114404,169599548131,32714705368,828289520600,425319353178,16641155536,163975195098,238278444726,17678050409067
2013,2856372458851,32539468085,460293149324,234648370497,3548728301290,1619240456888,78555637365,746647127408,957799371566,77316336530735,656680028290,8056772298,116822401299,63167341338,826498821370,403190873765,19253986718,176656710345,271536121839,18161607451070
2014,2894391168410,33387712766,432687036178,234648370506,3569880025467,1599403833225,80686854743,756350347320,938934394764,79453254441375,698706028054,8547254468,112714972924,76730017155,866766870183,414085652422,19566562275,190449017455,269943638495,18743022722720
2015,2534723688142,31050638298,384951479697,177498577313,3143961312693,1440212700192,68399663322,654269902889,864314287106,75217722628912,665871912875,7473888638,87460976187,44197145751,788819893355,351843962657,19233985326,195299566012,255404871840,17668643045531
2016,2469440154484,32234973404,417983583566,174896224010,3155520650807,1459985957528,65480507171,644935541446,869683121563,76368999871237,628472519316,8303729149,84641675672,36343435349,760164924779,340760722487,21608567366,168521656980,253164756687,17771066270037
2017,2516121177763,35473776596,445345256459,195473049873,3272607336334,1436549350150,70598026283,688586244287,858988610574,81306030232473,583991725359,10056815665,87911153625,32702641244,732082261138,319632230408,19315619991,168565912601,256493999117,18984958059282
2018,2771384097905,37652500000,453996479250,224228010474,3566140736119,1520424748699,79788768969,786521831572,778381859841,86439423191636,588641982395,11145140000,94385868036,28835722147,762084275309,338902676485,18495036647,165012280264,230868059629,20365128103949
2019,2817414584665,38574069149,,234094042939,3649607782728,,76331518669,792966838162,761425499358,87798525859221,593910994447,0,0,24837377956,788315281069,0,17747078090,175245671234,196980776684,20720452102776
2020,,,,,,,,,,,0,0,0,0,,,,0,0,0
